Olympic_Jahr;Sportart;Gewicht in kg;Groesse in cm;BMI
2000;Water Polo;63,09;166,68;22,7
2004;Water Polo;63,1;166,75;22,7
2008;Water Polo;62,71;166,51;22,6
2012;Water Polo;62,52;166,45;22,6
2016;Water Polo;63,25;167,81;22,5
1904;Weightlifting;69,5;167;24,9
1908;Weightlifting;60;166;21,8
1920;Weightlifting;66;175;21,6
1928;Weightlifting;64,17;166,33;23,2
1932;Weightlifting;61;167,33;21,8
1936;Weightlifting;62,2;167;22,3
1948;Weightlifting;66,33;169;23,2
1952;Weightlifting;64,91;167,97;23
1956;Weightlifting;66,22;168,37;23,4
1960;Weightlifting;65,19;168,62;22,9
1964;Weightlifting;64,02;168,15;22,6
1968;Weightlifting;63,76;168,38;22,5
1972;Weightlifting;63,71;168,62;22,4
1976;Weightlifting;62,78;168,34;22,2
1980;Weightlifting;62,71;168,55;22,1
1984;Weightlifting;62,31;166,46;22,5
1988;Weightlifting;62,66;167,43;22,4
1992;Weightlifting;62,72;166,85;22,5
1996;Weightlifting;62,4;166,37;22,5
2000;Weightlifting;62,69;166,67;22,6
2004;Weightlifting;62,89;166,66;22,6
2008;Weightlifting;62,69;166,55;22,6
2012;Weightlifting;63,16;167,14;22,6
2016;Weightlifting;63,18;167,78;22,4
1904;Wrestling;69;164,33;25,6
1908;Wrestling;73,25;174,25;24,1
1920;Wrestling;68;172,5;22,9
1928;Wrestling;64,17;166,33;23,2
1932;Wrestling;61;167,33;21,8
1936;Wrestling;62,2;167;22,3
1948;Wrestling;66,33;169;23,2
1952;Wrestling;65;168,09;23
1956;Wrestling;66;168,85;23,1
1960;Wrestling;65,23;168,75;22,9
1964;Wrestling;64,12;168,09;22,7
1968;Wrestling;63,75;168,33;22,5
1972;Wrestling;63,24;168,3;22,3
1976;Wrestling;61,71;168,03;21,9
1980;Wrestling;62,5;168,43;22
1984;Wrestling;62,52;166,37;22,6
1988;Wrestling;62,81;167,6;22,4
1992;Wrestling;62,12;166,18;22,5
1996;Wrestling;62,04;166,16;22,5
2000;Wrestling;61,96;166,18;22,4
2004;Wrestling;62,92;166,81;22,6
2008;Wrestling;62;165,83;22,5
2012;Wrestling;62,36;166,61;22,5
2016;Wrestling;62,57;167,22;22,4
